Packet Count, Jetson Time
0,1679939656.2445388
1,1679939656.245731
2,1679939656.2745576
3,1679939656.2747183
4,1679939656.274774
5,1679939656.29203
6,1679939656.2936685
7,1679939656.3205037
8,1679939656.320592
9,1679939656.3206344
10,1679939656.3503847
11,1679939656.350463
12,1679939656.3505037
13,1679939656.3790038
14,1679939656.3790953
15,1679939656.379141
16,1679939656.4098864
17,1679939656.4099605
18,1679939656.410004
19,1679939656.4303424
20,1679939656.4304457
21,1679939656.4600852
22,1679939656.460193
23,1679939656.460238
24,1679939656.4807403
25,1679939656.4808154
26,1679939656.480856
27,1679939656.5018003
28,1679939656.5018854
29,1679939656.5286803
30,1679939656.5287642
31,1679939656.5288095
32,1679939656.5498376
33,1679939656.549916
34,1679939656.570624
35,1679939656.5707088
36,1679939656.5900517
37,1679939656.590154
38,1679939656.6103272
39,1679939656.610407
40,1679939656.6305597
41,1679939656.6306458
42,1679939656.651125
43,1679939656.651208
44,1679939656.6711807
45,1679939656.6716323
46,1679939656.699323
47,1679939656.6994507
48,1679939656.7010145
49,1679939656.721903
50,1679939656.7220333
51,1679939656.7429545
52,1679939656.7430933
53,1679939656.7559054
54,1679939656.7561347
55,1679939656.779441
56,1679939656.7795832
57,1679939656.7798524
58,1679939656.8063524
59,1679939656.8064516
60,1679939656.81919
61,1679939656.8193364
62,1679939656.8417692
63,1679939656.841863
64,1679939656.859923
65,1679939656.860047
66,1679939656.884375
67,1679939656.8844783
68,1679939656.9003875
69,1679939656.900474
70,1679939656.921751
71,1679939656.9218376
72,1679939656.9561565
73,1679939656.9562557
74,1679939656.956308
75,1679939656.968793
76,1679939656.970018
77,1679939656.980144
78,1679939656.980265
79,1679939657.753434
80,1679939657.835292
81,1679939657.3079207
82,1679939657.309471
83,1679939657.3108962
84,1679939657.5327137
85,1679939657.5337353
86,1679939657.6926088
87,1679939657.694198
88,1679939657.9000852
89,1679939657.9018624
90,1679939657.110417
91,1679939657.1106534
92,1679939657.1302848
93,1679939657.1304529
94,1679939657.151481
95,1679939657.1516397
96,1679939657.17163
97,1679939657.17176
98,1679939657.2020109
99,1679939657.2022998
100,1679939657.202452
101,1679939657.2198274
102,1679939657.2199616
103,1679939657.230471
104,1679939657.2306068
105,1679939657.2514966
106,1679939657.2517612
107,1679939657.2811828
108,1679939657.2820497
109,1679939657.2822871
110,1679939657.2987676
111,1679939657.2989178
112,1679939657.3197887
113,1679939657.3199549
114,1679939657.3397846
115,1679939657.3399322
116,1679939657.3620565
117,1679939657.3622837
118,1679939657.3804116
119,1679939657.3805542
120,1679939657.403617
121,1679939657.4037108
122,1679939657.4243317
123,1679939657.424408
124,1679939657.424526
125,1679939657.4546597
126,1679939657.4560049
127,1679939657.4701552
128,1679939657.4703743
129,1679939657.4810011
130,1679939657.4810977
131,1679939657.5012405
132,1679939657.5013783
133,1679939657.5290525
134,1679939657.5291984
135,1679939657.529358
136,1679939657.5523863
137,1679939657.5526705
138,1679939657.5713794
139,1679939657.5715113
140,1679939657.5917287
141,1679939657.591854
142,1679939657.6103957
143,1679939657.6105373
144,1679939657.6308265
145,1679939657.630983
146,1679939657.6515195
147,1679939657.651674
148,1679939657.676289
149,1679939657.6764617
150,1679939657.6766465
151,1679939657.6994095
152,1679939657.6996796
153,1679939657.7197828
154,1679939657.7199702
155,1679939657.740312
156,1679939657.7404692
157,1679939657.758513
158,1679939657.7586784
159,1679939657.7788324
160,1679939657.7789788
161,1679939657.7791924
162,1679939657.7994027
163,1679939657.7995682
164,1679939657.8199065
165,1679939657.8200617
166,1679939657.839278
167,1679939657.839429
168,1679939657.8603504
169,1679939657.8605075
170,1679939657.8809855
171,1679939657.8811178
172,1679939657.9012637
173,1679939657.9014902
174,1679939657.928465
175,1679939657.9286137
176,1679939657.9287405
177,1679939657.9489436
178,1679939657.9490848
179,1679939657.96982
180,1679939657.9700344
181,1679939657.980004
182,1679939657.980104
