Packet Count, Jetson Time
0,1691740435.7085013
1,1691740435.7096136
2,1691740435.7097692
3,1691740435.7098637
4,1691740435.7100053
5,1691740435.7604086
6,1691740435.7606492
7,1691740435.7607512
8,1691740435.7608452
9,1691740435.7610064
10,1691740435.80935
11,1691740435.8095772
12,1691740435.8096838
13,1691740435.8097908
14,1691740435.8099687
15,1691740435.8596275
16,1691740435.8598769
17,1691740435.8599825
18,1691740435.8601253
19,1691740435.8602853
20,1691740435.9164941
21,1691740435.916721
22,1691740435.9168231
23,1691740435.9169157
24,1691740435.9170835
25,1691740435.91717
26,1691740435.9674296
27,1691740435.9676883
28,1691740435.9677877
29,1691740435.9678805
30,1691740435.9680471
31,1691740436.185924
32,1691740436.1879203
33,1691740436.1889827
34,1691740436.190886
35,1691740436.192067
36,1691740436.6887395
37,1691740436.6913702
38,1691740436.692644
39,1691740436.693542
40,1691740436.6948764
41,1691740436.1192284
42,1691740436.1194968
43,1691740436.119598
44,1691740436.1196923
45,1691740436.1198573
46,1691740436.169974
47,1691740436.1702287
48,1691740436.170333
49,1691740436.170432
50,1691740436.1706264
51,1691740436.2265465
52,1691740436.226838
53,1691740436.2270205
54,1691740436.227118
55,1691740436.2272737
56,1691740436.2274146
57,1691740436.2767675
58,1691740436.2770092
59,1691740436.2771125
60,1691740436.2772045
61,1691740436.2773185
62,1691740436.3275604
63,1691740436.3278263
64,1691740436.3279333
65,1691740436.328038
66,1691740436.3281608
68,1691740436.3795073
69,1691740436.3796873
70,1691740436.3797908
71,1691740436.3799236
72,1691740436.4284492
73,1691740436.4286544
74,1691740436.4287837
75,1691740436.4289193
76,1691740436.4290144
77,1691740436.4806576
78,1691740436.4808297
79,1691740436.4809773
80,1691740436.4810727
81,1691740436.4811645
82,1691740436.5364072
83,1691740436.5366364
84,1691740436.536741
85,1691740436.536837
86,1691740436.536935
87,1691740436.537105
88,1691740436.5870216
89,1691740436.5872695
90,1691740436.5874
91,1691740436.587549
92,1691740436.5876484
93,1691740436.6372972
94,1691740436.6375773
95,1691740436.6377065
96,1691740436.6378028
97,1691740436.6378992
98,1691740436.6885123
99,1691740436.689741
100,1691740436.6898859
101,1691740436.6899877
102,1691740436.690086
103,1691740436.7393796
104,1691740436.7396145
105,1691740436.7397563
106,1691740436.739864
107,1691740436.7399788
108,1691740436.789182
109,1691740436.7894628
110,1691740436.789605
111,1691740436.789708
112,1691740436.7898464
113,1691740436.8460667
114,1691740436.8463693
115,1691740436.846579
116,1691740436.84668
117,1691740436.8467736
118,1691740436.8468928
119,1691740436.897176
120,1691740436.8974457
121,1691740436.8975818
122,1691740436.8976853
123,1691740436.8977969
124,1691740436.948512
125,1691740436.9487505
126,1691740436.9489088
127,1691740436.9490123
128,1691740436.9491131
129,1691740436.998525
130,1691740436.9987848
131,1691740436.9989853
132,1691740436.999097
133,1691740436.9991984
134,1691740437.4982088
135,1691740437.5006373
136,1691740437.5021744
137,1691740437.503186
138,1691740437.5042112
139,1691740437.999626
140,1691740437.1002028
141,1691740437.1003428
142,1691740437.1004431
143,1691740437.1005406
144,1691740437.1567235
145,1691740437.1569118
146,1691740437.1570692
147,1691740437.1571703
148,1691740437.1572711
149,1691740437.1573937
150,1691740437.2072737
151,1691740437.2074845
152,1691740437.2076144
153,1691740437.2077155
154,1691740437.2078135
156,1691740437.2655766
157,1691740437.2657728
158,1691740437.2658885
159,1691740437.2659883
160,1691740437.3082762
161,1691740437.3085177
162,1691740437.3086624
163,1691740437.3087647
164,1691740437.3088665
165,1691740437.3583162
166,1691740437.358526
167,1691740437.3586824
168,1691740437.358782
169,1691740437.3589444
170,1691740437.409872
171,1691740437.4101288
172,1691740437.4102695
173,1691740437.4103763
174,1691740437.4104772
175,1691740437.4657862
176,1691740437.4660313
177,1691740437.4661746
178,1691740437.466288
179,1691740437.466391
180,1691740437.466592
181,1691740437.5168035
182,1691740437.5170245
183,1691740437.5171616
184,1691740437.5172627
185,1691740437.5173616
186,1691740437.5675223
187,1691740437.5677414
188,1691740437.5679348
189,1691740437.5680525
190,1691740437.5681543
191,1691740437.619047
192,1691740437.6193128
193,1691740437.6194453
194,1691740437.619546
195,1691740437.619645
196,1691740437.6689992
197,1691740437.6692307
198,1691740437.6693559
199,1691740437.6694531
200,1691740437.669546
201,1691740437.719704
202,1691740437.7199328
203,1691740437.7200844
204,1691740437.7202127
205,1691740437.7203069
206,1691740437.776611
207,1691740437.7769265
208,1691740437.7770727
209,1691740437.7771854
210,1691740437.7772908
211,1691740437.7773936
212,1691740437.8268428
213,1691740437.8271856
214,1691740437.827296
215,1691740437.82742
216,1691740437.827516
217,1691740437.878232
218,1691740437.878464
219,1691740437.8786144
220,1691740437.8787072
221,1691740437.8787968
222,1691740437.9284298
223,1691740437.928702
224,1691740437.928833
225,1691740437.9289649
226,1691740437.9290607
227,1691740437.979446
228,1691740437.9796896
229,1691740437.979836
230,1691740437.9799347
231,1691740437.980024
232,1691740438.2948472
233,1691740438.2968512
234,1691740438.298144
235,1691740438.2993948
236,1691740438.3003569
237,1691740438.8658416
238,1691740438.86767
239,1691740438.868651
